X Dis,Y Dis,X Vel,Y Vel
-729.4843537,602.861564,-5.105472363,-1.648285922
-727.8360678,607.9670364,-5.111456215,-1.777895541
-726.0581723,613.0784926,-5.111456215,-1.911100622
-724.1470717,618.1899488,-5.105350528,-2.04769014
-722.0993815,623.2952993,-5.093024757,-2.18744895
-719.9119326,628.3883241,-5.074372086,-2.330158041
-717.5817745,633.4626962,-5.049293405,-2.475594812
-715.1061797,638.5119896,-5.017697433,-2.623533336
-712.4826464,643.529687,-4.979500832,-2.77374464
-709.7089017,648.5091878,-4.934628303,-2.925996979
-706.7829048,653.4438162,-4.883012682,-3.080056124
-703.7028486,658.3268288,-4.824595021,-3.235685644
-700.467163,663.1514239,-4.759324656,-3.392647195
-697.0745158,667.9107485,-4.687159276,-3.550700809
-693.523815,672.5979078,-4.608064969,-3.709605188
-689.8142098,677.2059728,-4.522016264,-3.869117998
-685.9450918,681.727989,-4.428996163,-4.028996163
-681.9160956,686.1569852,-4.328996163,-4.188996163
-677.7270995,690.4859813,-4.222016264,-4.348874328
-673.3782251,694.7079976,-4.108064969,-4.508387139
-668.869838,698.8160626,-3.987159276,-4.667291518
-664.2025465,702.8032219,-3.859324656,-4.825345131
-659.3772014,706.6625465,-3.724595021,-4.982306682
-654.3948947,710.3871415,-3.624595021,-4.942306682
-649.452588,714.0117366,-3.524595021,-4.902306682
-644.5502813,717.5363316,-3.424595021,-4.862306682
-639.6879746,720.9609266,-3.324595021,-4.822306682
-634.865668,724.2855216,-3.224595021,-4.782306682
-630.0833613,727.5101166,-3.124595021,-4.742306682
-625.3410546,730.6347117,-3.024595021,-4.702306682
-620.6387479,733.6593067,-2.924595021,-4.662306682
-615.9764412,736.5839017,-2.824595021,-4.622306682
-611.3541345,739.4084967,-2.724595021,-4.582306682
-606.7718279,742.1330917,-2.624595021,-4.542306682
-602.2295212,744.7576868,-2.524595021,-4.502306682
-597.7272145,747.2822818,-2.30703797,-4.624110081
-593.1031044,749.5893197,-2.083905675,-4.741712232
-588.3613922,751.6732254,-1.855348153,-4.85492112
-583.5064711,753.5285736,-1.621522032,-4.963550085
-578.542921,755.1500956,-1.382590358,-5.067418045
-573.4755029,756.532686,-1.138722398,-5.166349719
-568.3091532,757.6714084,-0.890093433,-5.260175841
-563.0489774,758.5615018,-0.636884544,-5.348733363
-557.700244,759.1983863,-0.379282393,-5.431865658
-552.2683784,759.5776687,-0.117478994,-5.509422708
-546.7589556,759.6951477,0.14832852,-5.581261289
-541.1776944,759.5468192,0.417938139,-5.647245142
-535.5304492,759.1288811,0.69114322,-5.707245142
-529.8232041,758.4377378,0.967732739,-5.761139454
-524.0620646,757.4700051,1.247491548,-5.808813684
-518.2532509,756.2225136,1.530200639,-5.850161012
-512.4030899,754.6923129,1.81563741,-5.885082331
-506.5180076,752.8766755,1.91563741,-5.845082331
-500.6729253,750.9610381,2.01563741,-5.805082331
-494.8678429,748.9454007,2.11563741,-5.765082331
-489.1027606,746.8297633,2.21563741,-5.725082331
-483.3776783,744.6141259,2.31563741,-5.685082331
-477.6925959,742.2984885,2.41563741,-5.645082331
-472.0475136,739.8828511,2.51563741,-5.605082331
-466.4424313,737.3672136,2.61563741,-5.565082331
-460.8773489,734.7515762,2.71563741,-5.525082331
-455.3522666,732.0359388,2.81563741,-5.485082331
-449.8671843,729.2203014,2.91563741,-5.445082331
-444.422102,726.304664,3.01563741,-5.405082331
-439.0170196,723.2890266,3.11563741,-5.365082331
-433.6519373,720.1733892,3.21563741,-5.325082331
-428.326855,716.9577518,3.31563741,-5.285082331
-423.0417726,713.6421144,3.41563741,-5.245082331
-417.7966903,710.2264769,3.51563741,-5.205082331
-412.591608,706.7108395,3.61563741,-5.165082331
-407.4265256,703.0952021,3.71563741,-5.125082331
-402.3014433,699.3795647,3.81563741,-5.085082331
-397.216361,695.5639273,3.91563741,-5.045082331
-392.1712786,691.6482899,4.01563741,-5.005082331
